Nom;Nom alternatiu;Tipus;Continent;Unitat de relleu;País;Cimera;Regió;Altitud;Classificació per alçada;Latitud;Longitud;Descripció;Keywords;
La Marta;;cerro;América del Norte;Sierra Madre Oriental;México;;Coahuila, Nuevo León;3.700 m;tres mil;;;Cumbre de mayor altitud del estado de Nuevo León, aunque una parte de la montaña se encuentra dentro del estado de Coahuila. Carece de vegetación como consecuencia de un incendio reciente y las temperaturas suelen ser bastante frías.;Cumbre,altitud,montaña,vegetación;
La Mesa;;cerro;América del Sur;Andes;Argentina;;Andes centrales;6.230 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
La Mina;;cerro;América Central;Cordilelra Central;Puerto Rico;;;920 m;menor de 1000;;;Cumbre de la Cordillera Central puertorriqueña, situada en el municipio de Nguabo (Río Abajo).;Cumbre,Cordillera,Central,Río;
La Mira;;pico;Europa;Sistema Central;España;;;2.348 m;dos mil;;;Pico de 2.348 m de altura sobre el nivel del mar, situado en la sierra de Gredos, en el Sistema Central.;Pico,altura,sierra,Sistema Central;
La Munia;;pico;Europa;Pirineos;España;;;3.133 m;tres mil;;;Pico de 3.133 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
La Pelona;;loma;América Central;Cordillera Central;República Dominicana;;;3.085 m;tres mil;19° 2' N;71° 0' O;cumbres antaño conocida como Pelona Chica, de 3.085 m de altura, sólo unos pocos metros por debajo del pico Duarte, a 1,5 km de distancia. Se encuentra en la provincia de San Juan (República Dominicana), dentro del parque nacional J. A. Bermúdez, en la cordillera Central. Su ascensión no presenta ninguna dificultad técnica: se puede acceder conjuntamente a las dos cumbres principales del macizo en el mismo día y llevar a cabo un recorrido completo por la zona, una buena forma de conocer la riqueza natural de estos parajes.;cumbres,altura,pico,Duarte,cordillera,Central,ascensión,dificultad,macizo,cabo,zona,parajes;
La Peñuela;;cerro;América del Norte;Cordillera Neovolcánica;México;;Hidalgo;3.450 m;tres mil;;;Montaña más alta del estado de Hidalgo (México).;Montaña;
La silla de Calderón;;pico;América Central;Cordillera Central;Puerto Rico;;Adjuntas (Limani);1.150 m;mil;;;Cumbre de la Cordillera Central puertorriqueña, situada en el municipio de Adjuntas (Limani).;Cumbre,Cordillera,Central;
La Viga;;cerro;América del Norte;Cordillera Neovolcánica;México;;Coahuila;3.710 m;tres mil;;;También conocido como Los Lirios o San Rafael, se encuentra en el estado de Coahuila (México).;San Rafael;
Labuche Kang;;pico;Asia;Himalaya;Tíbet;;;7.367 m;set mil;;;Pico de 7.367 m de altura sobre el nivel del mar, situado en la cordillera del Himalaya.;Pico,altura,cordillera,Himalaya;
Labuche Kang III;;pico;Asia;Himalaya;Tíbet;;;7.250 m;set mil;;;Pico de 7.250 m de altura sobre el nivel del mar, situado en la cordillera del Himalaya.;Pico,altura,cordillera,Himalaya;
Laguna Blanca Norte;;cerro;América del Sur;Andes;Argentina;;Puna de Atacama;6.012 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
Langtang Lirung;;pico;Asia;Himalaya;Nepal;;;7.227 m;set mil;;;Pico de 7.227 m de altura sobre el nivel del mar, situado en la cordillera del Himalaya.;Pico,altura,cordillera,Himalaya;
Langtang Ri;;pico;Asia;Himalaya;Nepal, Tíbet;;;7.205 m;set mil;;;Pico de 7.205 m de altura sobre el nivel del mar, situado en la cordillera del Himalaya.;Pico,altura,cordillera,Himalaya;
Lanín;;volcán;América del Sur;Andes;Argentina;;;3.776 m;tres mil;39º 39' 50' S;71º 30' 17'' O;Volcán extinguido en la provincia de Neuquén (Argentina), en el sector sur de la cordillera de los Andes. Su cumbres, de 3.776 m, es la más alta del parque nacional Lanín, espacio protegido que alberga bosques de pehuenes (Araucaria araucana). La ascensión por la vías normal (cara norte) es de dificultad baja, aunque depende de las condiciones climáticas, mientras que la cara sur ofrece vías de escalada de mayor dificultad.;Volcán,cordillera,Andes,cumbres,bosques,ascensión,vías,normal,cara,dificultad,escalada;
Las Cumbres;;cerro;América del Norte;Cordillera Neovolcánica;México;;Puebla,Veracruz;3.850 m;tres mil;;;También conocido como La Gloria o Gordo, se encuentra entre los estados de Puebla y Veracruz (México).;Gordo;
Las Espadas;;pico;Europa;Pirineos;España;;Aragón;3.332 m;tres mil;;;Pico de 3.332 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Las Minas;;cerro;América del Norte;Cordillera Neovolcánica;México;;México;3.750 m;tres mil;;;Montaña situada en el estado de México (México).;Montaña;
Las Tórtolas;;cerro;América del Sur;Andes;Argentina, Chile;;Andes centrales;6.160 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
Las Villuercas;;pico;Europa;Montes de Toledo;España;;;1.601 m;mil;;;Pico de 1.601 m de altura sobre el nivel del mar, punto culminante de los Montes de Toledo.;Pico,altura,Montes de Toledo;
Le Bondidier;;pico;Europa;Pirineos;España;;;3.185 m;tres mil;;;Pico de 3.185 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Ledormeur;;punta;Europa;Pirineos;España;;;3.120 m;tres mil;;;Pico de 3.120 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Lenana;;punta;África;Monte Kenya;Kenya;;Tierras Altas Orientales;4.979 m;quatre mil;0° 9' S;37° 19' E;Cumbre secundaria del macizo del monte Kenya, de 4.979 m de altura, a 2.210 metros en línea recta del pico Nelion (cumbre principal: pico Batian, cumbre secundaria: pico Piggott). Su ascensión no presenta grandes dificultades técnicas, más allá de los requerimientos físicos derivados de la gran altitud. Se accede casi hasta la cumbre por un sendero muy practicable. En los alrededores se encuentran interesantes vías de escalada en hielo, con canales y glaciares, especialmente en la vertiente occidental. También se puede practicar la escalada en roca o disfrutar de interesantes cresteríos de diversa dificultad.;Cumbre,macizo,monte,altura,pico,Piggott,ascensión,dificultades,altitud,sendero,vías,escalada,hielo,glaciares,vertiente,escalada en roca;
Lenin;;pico;Asia;Pamir;Tajikistán, Kirguistán;;;7.165 m;set mil;;;Pico de 7.165 m de altura sobre el nivel del mar situado en en la cordillera de Pamir, entre Tayikistán y Kirguistán. Es la segunda montaña más elevada de Tayikistán y de la antigua Unión de Repúblicas Socialistas Soviéticas, después del pico Ismail Samani, y la más alta del Chon Alai. Otras mediciones estiman su altitud en 7.134 m sobre el nivel del mar. El pico fue renombrado en julio de 2006, por el gobierno tayiko, como pico Abuali ibni Sino, en honor al filósofo medieval Avicena.;Pico,altura,cordillera,Pamir,segunda,Ismail Samani,altitud;
Les Agudes;;pico;Europa;Montseny;España;;Cataluña;1.706 m;mil;;;Pico del macizo del Montseny con una altitud de 1.706 m sobre el nivel del mar, segundo pico más anto del macizo, después del Turó de l'Home. El macizo del Montseny forma parte de la Cordillera Prelitoral catalana, y está situado en el límite de las comarcas del Vallés Oriental, La Selva y Osona, constituyendp una barrera entre la Depresión Prelitoral Catalana y la Plana de Vic, y separado de las Guillerías por una fractura.;Pico,macizo,Montseny,altitud,segundo,segundo,Turó de l'Home,Cordillera,Vall,Selva,Depresión,fractura;
Lesatima;;monte;África;Cordillera Aberdare;Kenya;;;4.001 m;quatre mil;;;Punto culminante de la cordillera Aberdare, también conocido como monte Satima.;cordillera,monte;
Lézat;;pico;Europa;Pirineos;España;;;3.107 m;tres mil;;;Pico de 3.107 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Lhotse;;pico;Asia;Himalaya;Nepal;;;8.516 m;vuit mil;;;Pico del Himalaya de 8.516 m de altura, que se eleva al sur del Everest, en la frontera entre China (Tibet) y Nepal. Es la cuarta cima de la Tierra en cuanto a altitud y, por tanto, uno de los 14 ochomiles. Fue escalada por primera vez en 1956 por la expedición suiza guiada por A. Eggler. Forma parte del parque nacional de Sagarmatha, declarado Patrimonio de la Humanidad en 1979.;Pico,Himalaya,altura,Everest,frontera,cima,Tierra,altitud,ochomiles,escalada,primera,expedición;
Lhotse Shar;;pico;Asia;Himalaya;Nepal;;;8.382 m;vuit mil;;;Cumbre secundaria del Lhotse, de 8.382 m de altura sobre el nivel del mar. Al no tratarse de una cumbre principal (con una prominencia de 500 m o más), no se considera como uno de los 14 ochomiles.;Cumbre,Lhotse,altura,ochomiles;
Lhotse Torre Central Este;;pico;Asia;Himalaya;Nepal;;;8.372 m;vuit mil;;;Cumbre secundaria del Lhotse, de 8.372 m de altura sobre el nivel del mar. Al no tratarse de una cumbre principal (con una prominencia de 500 m o más), no se considera como uno de los 14 ochomiles.;Cumbre,Lhotse,altura,ochomiles;
Lhotse Torre Central Oeste;;pico;Asia;Himalaya;Nepal;;;8.410 m;vuit mil;;;Cumbre secundaria del Lhotse, de 8.410 m de altura sobre el nivel del mar. Al no tratarse de una cumbre principal (con una prominencia de 500 m o más), no se considera como uno de los 14 ochomiles.;Cumbre,Lhotse,altura,ochomiles;
Licancabur;;cerro;América del Sur;Andes;Bolivia, Chile;;;5.920 m;cinc mil;;;Montaña de la cordillera de los Andes, entre el departamento de Potosí (Bolivia) y la Región de Antofagasta (Chile).;Montaña,cordillera,Andes,Región;
Lípez;;cerro;América del Sur;Andes;Bolivia;;Cordillera de Lípez;5.929 m;cinc mil;;;Montaña de la cordillera de los Andes, en el departamento de Potosí (Bolivia).;Montaña,cordillera,Andes;
Lister;;monte;Antártida;Cordillera Royal Society;Antártida;;;4.023 m;quatre mil;;;Montaña situada en la cordillera Royal Society (Antártida).;Montaña,cordillera;
Llaima;;volcán;América del Sur;Andes;Chile;;Patagonia;3.125 m;tres mil;38° 41' 30'' S;71° 43' 44'' O;Volcán de 3.125 m de altura sobre el nivel del mar (según el Instituto Geográfico Militar de Chile) y de 1.819 m de prominencia, situado en los Andes Patagónicos Chilenos, en la novena región de La Araucanía (Chile), en el sector del parque nacional Conguilio. Destaca por encontrarse entre los volcanes más activos de América del Sur, así como por concentrar una intensa actividad turística en la zona.;Volcán,altura,Andes,región,zona;
Llullaillaco;;volcán;América del Sur;Andes;Chile, Argentina;;Puna de Atacama;6.739 m;sis mil;24º 43' S;68º 32' O;Volcán o cerro situado en la frontera entre Chile y Argentina, dentro del parque nacional Llullaillaco. Sus 6.739 m de altura sobre el nivel del mar le convierten en la montañas más alta de la provincia de Salta (Argentina) y de la región de Antofagasta (Chile). Es también la séptima montaña más alta de los Andes y del continente americano, y el cuarto volcán más alto del mundo. Inactivo desde finales del siglo XIX (según una referencia imprecisa), este volcán presenta grandes similitudes con el resto de volcanes característicos de la Puna de Atacama, con extensos pedregales de roca volcánica, algunos neveros y unos pocos glaciares de pequeño tamaño. Pese a tratarse de una de las montañas más altas de la región, no recibe muchas visitas debido a que existen campos minados en la zona.;Volcán,cerro,frontera,altura,montañas,región,Andes,continente,alto,Puna,pedregales,roca,neveros,glaciares,campos,zona;
Los Cuates;;cerro;América del Norte;Cordillera Neovolcánica;México;;México;3.680 m;tres mil;;;Montaña del estado de México, en la cordillera Neovolcánica mexicana.;Montaña,cordillera;
Los Gemelos;;cerro;América del Sur;Andes;Argentina;;Puna de Atacama;6.196 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
Los Olivares;;cerro;América del Sur;Andes;Argentina, Chile;;Andes centrales;6.216 m;sis mil;;;Montaña de la cordillera de los Andes, entre la provincia de San Juan (Argentina) y la Región de Coquimbo (Chile).;Montaña,cordillera,Andes,Región;
Lourde-Rocheblave;;punta;Europa;Pirineos;España;;;3.104 m;tres mil;;;Pico de 3.104 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Luigi di Savoia;;monte;África;Montañas Ruwenzori;República Democrática del Congo, Uganda;;;4.627 m;quatre mil;;;Lleva el nombre de Luis Amadeo de Saboya, Duque de los Abruzos, quien en 1906 exploró las montañas Ruwenzori y ascendió numerosas cumbres, entre ellas el pico Luigi di Savoia.;cumbres,pico,Savoia;
Lupghar Sar;;pico;Asia;Karakórum;Pakistán;;Cachemira;7.200 m;set mil;;;Pico de 7.200 m de altura sobre el nivel del mar, situado en la cordillera del Karakórum.;Pico,altura,cordillera,Karakórum;
Lustou;;pico;Europa;Pirineos;España;;;3.023 m;tres mil;;;Pico de 3.023 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Machu Picchu;;cerro;América del Sur;Andes;Perú;;;2.075 m;dos mil;13° 7' S;72° 35' O;Cima situada entre dos picos principales del macizo de Salcantey (ver también el cerro Huayna Picchu), a unos 130 km de la ciudad de Cuzco (Perú). El complejo inca que alberga fue declarado en 1983 Patrimonio de la Humanidad por la Unesco con el nombre de Santuario Histórico de Machu Picchu.;Cima,picos,macizo,cerro,Huayna Picchu;
Mágina;;pico;Europa;Cordillera Subbética;España;;;2.167 m;dos mil;;;Pico de 2.167 m de altura sobre el nivel del mar, situado en la Cordillera Subbética.;Pico,altura,Cordillera;
Majadita;;cerro;América del Sur;Andes;Argentina;;Andes centrales;6.280 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
Makalu;;pico;Asia;Himalaya;Nepal, Tíbet;;;8.462 m;vuit mil;;;Quinta montaña más alta del mundo, con 8.462 m de altura sobre el nivel de mar. Se trata de un pico aislado, situado a poco más de 20 km al este del monte Everest. Se caracteriza por un tamaño imponente y una estructura piramidal perfecta con cuatro cantos afilados. La historia de sus ascenciones pone de relieve que es un pico difícil, ya que sólo cinco de sus primeros dieciséis intentos tuvieron éxito, siendo el primero en 1955. El Chomo Lonzo es un pico subsidiario del Makalu, justo al norte de la cumbre más alta, también llamada en ocasiones Makalu I, y están separados por un estrecho collado.;altura,pico,monte,Everest,cantos,afilados,relieve,primeros,primeros,Chomo Lonzo,cumbre,collado;
Makarakomburu;;monte;Oceanía;Monte Makarakomburu;Islas Salomon;;Guadalcanal;2.447 m;dos mil;9° 44' S;160° 02' E;Punto culminante del estado de las Islas Salomon o Salomon (no debe confundirse con el archipiélago de las islas Salomon, que abarca un número mayor de islas y otras montañas más altas), localized aproximadamente a 20 millas al sur de Honiara, la capital, en la isla de Guadalcanal, que es la más extensa de todas las islas del país y de origen volcánico. Algunas mediciones estiman su altura por debajo de la del monte Popomanaseu, considerándolo como la segunda montaña más alta de la isla y del país.;lago,millas,altura,monte,Popomanaseu,segunda;
Malangutti Sar;;pico;Asia;Karakórum;Pakistán;;Cachemira;7.207 m;set mil;;;Pico de 7.207 m de altura sobre el nivel del mar, situado en la cordillera del Karakórum.;Pico,altura,cordillera,Karakórum;
Maldito;;pico;Europa;Pirineos;España;;Aragón;3.350 m;tres mil;;;Pico de 3.350 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Malubiting;;pico;Asia;Karakórum;Pakistán;;Cachemira;7.458 m;set mil;;;Pico de 7.458 m de altura sobre el nivel del mar, situado en la cordillera del Karakórum.;Pico,altura,cordillera,Karakórum;
Mamostong Kangri;;pico;Asia;Karakórum;India;;Cachemira;7.516 m;set mil;;;Pico de 7.516 m de altura sobre el nivel del mar, situado en la cordillera del Karakórum.;Pico,altura,cordillera,Karakórum;
Mamy;;punta;Europa;Pirineos;España;;;3.048 m;tres mil;;;Pico de 3.048 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Mana;;pico;Asia;Himalaya;India;;;7.272 m;set mil;;;Pico de 7.272 m de altura sobre el nivel del mar, situado en la cordillera del Himalaya.;Pico,altura,cordillera,Himalaya;
Manaslu;;pico;Asia;Himalaya;Nepal;;;8.163 m;vuit mil;;;Montaña de 8.163 m de altura sobre el nivel del mar, situada en la cordillera del Himalaya, en Nepal. Es la octava montaña más elevada del mundo y uno de los 14 ochomiles. Conocida también como Kutang, el nombre Manaslu proviene de la palabra manas, que en sánscrito significa mente. La primera ascensión al Manaslu la culminaron, el 9 de mayo de 1956, Toshio Imanishi y Gyalzen Norbu, integrantes de una expedición japonesa.;Montaña,altura,cordillera,Himalaya,ochomiles,primera,ascensión,expedición;
Maou;;pico;Europa;Pirineos;España;;;3.074 m;tres mil;;;Pico de 3.073 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Maravilla;;cerro;América Central;Cordillera Central;Puerto Rico;;Ponce (Anón);1.215 m;mil;;;Cumbre de la Cordillera Central puertorriqueña, situada en el municipio de Ponce (Anón).;Cumbre,Cordillera,Central;
Marcos Feliu;;pico;Europa;Pirineos;España;;;3.057 m;tres mil;;;Pico de 3.057 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Markham;;monte;Antártida;Montañas Reina Elizabeth;Antártida;;;4.351 m;quatre mil;;;Montaña situada en las montañas Reina Elizabeth (Antártida).;Elizabeth;
Marmolejo;;cerro;América del Sur;Andes;Argentina, Chile;;Andes centrales;6.108 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
Maroma;;pico;Europa;Cordillera Penibética;España;;;2.065 m;dos mil;;;Pico de 2.065 m de altura sobre el nivel del mar, punto más alto de la Sierra de Tejada, en la Cordillera Penibética.;Pico,altura,alto,Sierra,Cordillera;
Masherbrum;;pico;Asia;Karakórum;Pakistán;;Cachemira;7.821 m;set mil;;;Pico de 7.821 m de altura sobre el nivel del mar situado en la cordillera del Karakórum.;Pico,altura,cordillera,Karakórum;
Matagalls;;pico;Europa;Montseny;España;;Cataluña;1.694 m;mil;;;Pico del macizo del Montseny con una altitud de 1.694 m sobre el nivel del mar. Otras mediciones estiman su altitud en 1700 m. El macizo del Montseny forma parte de la Cordillera Prelitoral catalana, y está situado en el límite de las comarcas del Vallés Oriental, La Selva y Osona, constituyendp una barrera entre la Depresión Prelitoral Catalana y la Plana de Vic, y separado de las Guillerías por una fractura.;Pico,macizo,Montseny,altitud,Cordillera,Vall,Selva,Depresión,fractura;
Matterhorn;Cervino;monte;Europa;Alpes;Italia, Suiza;;;4.478 m;quatre mil;45º 58´ N;7º 39´ E;Conocido como Cervino (nombre italiano) o Mattherhorn (nombre suizo), cuenta con 4.478 m de altura sobre el nivel del mar y es uno de los picos más característicos de los Alpes por su impresionante figura piramidal y por su historia alpinística. Ubicado en la cordillera de los Alpes, a 5 km al sur de Zermatt (Valle de Aosta, Suiza) y accesible también desde Breuil-Cervinia (Valais, Italia), es límite fronterizo entre ambos países. Su ascensión por la vía normal y en verano es de dificultad media, aunque requiere técnica y experiencia alpinas.;Cervino,altura,picos,Alpes,alpinística,cordillera,Valle,ascensión,vía,normal,dificultad,experiencia,alpinas;
Maubic;;pico;Europa;Pirineos;España;;;3.058 m;tres mil;;;Pico de 3.058 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
Mauna Kea;;pico;Oceanía;Mauna Kea;Hawái;;;4.205 m;quatre mil;;;Volcán inactivo del tipo escudo que representa el punto más alto de Hawái. Es uno de los cinco volcanes que forman la isla de Hawái, junto con los volcanes Mauna Loa, Hualalai, Kohala y Kīlauea. Desde su base en el fondo marino, cuenta con una altura de 10.203 m, lo que la convierte en la montaña y en el volcán mas alto del mundo si se mide desde su base y se inclye contando la parte no emergida. Su nombre significa «montaña blanca» en hawaiano, y hace referencia su cumbre nevada durante la estación invernal. Su última erupción fue hace más de 3.500 años. El clima en su cima es extremadamente frío, lo que favorece la existencia de glaciares que van desde el cráter hasta la falda del volcán.;Volcán,alto,Mauna Loa,altura,cumbre,nevada,invernal,erupción,clima,cima,glaciares,falda;
Mauna Loa;;pico;Oceanía;Mauna Loa;Hawái;;;4.169 m;quatre mil;;;Volcán de tipo escudo, el más grande de su categoría en todo el mundo y uno de los más activos en las islas Hawaianas. Es uno de los cinco volcanes que forman la isla de Hawai junto con el Mauna Kea, el Hualalai, el Kohala y el Kīlauea, en el centro del anillo de fuego. En hawaiano, Mauna Loa significa «montaña alta». Se calcula que, además de su parte emergida, cuenta con unos 5.000 m desde su base en el fondo marino hasta la superficie del océano. La caldera de la cumbre del volcán se llama Moku`aweoweo.;Volcán,Mauna Kea,superficie,cumbre;
Mawenzi;;volcán;África;Kilimanjaro;Tanzania;;;5.149 m;cinc mil;3° 6' S;37° 27' E;Volcán secundario del macizo volcánico Kilimanjaro, de 5.149 m de altura. Entre el volcán Kibo, cumbre principal del Kilimanjaro y el Mawenzi hay una plataforma de cerca de 3.600 ha, conocida como la silla, que conforma la mayor área de tundra de altura de África. El tercer volcán del macizo Kilimanjaro es el Shira, más al oeste. Su ascensión no presenta grandes dificultades técnicas, aunque se requiere una buena forma física y una correcta aclimatación debido al esfuerzo físico requerido a gran altitud. También se le conoce como pico Hans Meyer.;Volcán,macizo,Kilimanjaro,altura,Kibo,cumbre,silla,tundra,Shira,ascensión,dificultades,aclimatación,altitud,pico;
Maxim Gorki;;pico;Asia;Tian Shan;Kirguistán;;;6.050 m;sis mil;;;Pico de 6.050 m de altura sobre el nivel del mar situado en la cordillera Tian Shan.;Pico,altura,cordillera,Tian Shan;
McKinley;;monte;América del Norte;Cordillera de Alaska;Estados Unidos;;Alaska;6.194 m;sis mil;63° 4' N;151° 0' O;Monte más alto de los Estados Unidos, de 6.194 m de altura sobre el nivel del mar, situado en la cordillera de Alaska, un cordón montañoso que se extiende desde la frontera entre Estados Unidos y Canadá, y las islas Aleutianas. Las principales dificultades que presenta su ascensión están relacionadas con la altitud, la climatología por la latitud y el desnivel de alrededor de 4.000 m entre su base y la cumbre. También se le conoce como Denali.;Monte,alto,altura,cordillera,cordón,montañoso,frontera,dificultades,ascensión,altitud,climatología,latitud,desnivel,cumbre;
Media Luna;;cerro;América del Norte;Cordillera Neovolcánica;México;;Distrito Federal, México;3.736 m;tres mil;;;Montaña situada en el Distrito Federal de México (México).;Montaña;
Medusa;;volcán;América del Sur;Andes;Chile, Argentina;;Región de Atacama y Provincia de Catamarca;6.120 m;sis mil;-27° 7' 38,2";-68° 28' 58,2";El volcán Medusa, ubicado en las proximidades del nevado Ojos del Salado, en el departamento Tinogasta, noroeste de la provincia de Catamarca, Argentina y en la región de Atacama, Chile, límite fronterizo de ambos países. Se sitúa entre el volcán El Muerto y el nevado Ojos del Salado. Forma parte de una extensa cadena volcánica donde destacan el cerro San Francisco, el Incahuasi, el Fraile, el volcán El Muerto, volcán Ojos del Salado, el cerro Solo y el nevado Tres Cruces.El volcán Medusa tiene una altitud de 6.120 m sobre el nivel del mar y su escalada no presenta grandes dificultades técnicas, aunque las grandes distancias a salvar  hacen que sea poco visitado. En ocasiones suele ser confundido con el volcán Del Viento, situado un poco más al sur.;volcán,nevado,nevado,Ojos del Salado,región,El Muerto,cadena,cerro,San Francisco,Fraile,Solo,Tres Cruces,altitud,escalada,dificultades,Del Viento;
Membrillo;;monte;América Central;Cordillera Central;Puerto Rico;;Yauco (Río Pietro);1.100 m;mil;;;Cumbre de la Cordillera Central puertorriqueña, situada en el municipio de Yauco (Río Pietro).;Cumbre,Cordillera,Central,Río;
Mercedario;;cerro;América del Sur;Andes;Argentina;;Andes centrales;6.720 m;sis mil;;;Montaña de la cordillera de los Andes.;Montaña,cordillera,Andes;
Meru;;monte;África;Monte Meru;Tanzania;;;4.565 m;quatre mil;;;Estratovolcán activo situado en el cordón montañoso al este del Gran Valle del Rift, a 70 km al oeste del Kilimanjaro, en Tanzania. Con una altura de 4.565 m sobre el nivel del mar, es la segunda montaña más alta del país. Tiene una caldera de 5 km de diámetro, formada hace 7.800 años cuando el volcán colapsó tras una gran explosión. La última erupción registrada del volcán ocurrió en 1910. Se suele aceptar que la primera ascensión tuvo lugar en 1904, y que fue realizada por Fritz Jäeger. Sin embargo se discute si fue Carl Uhlig quien lo ascendió por primera vez en 1901. El monte Meru es, además, el eje topográfico del Parque Nacional Arusha, establecido en 1967. En sus laderas, por encima de la sabana, crece un bosque que alberga una abundante vida silvestre, incluyendo cerca de 400 especies de aves, y también leopardos y monos.;Estratovolcán,cordón,montañoso,Valle,Rift,Kilimanjaro,altura,segunda,montaña,volcán,erupción,primera,ascensión,monte,laderas,sabana,bosque,especies;
Mifes;;pico;América del Sur;Andes;Venezuela;;Sierra de Santo Domingo;4.630 m;quatre mil;;;Pico de 4.630 m de altura sobre el nivel del mar, situado al noreste del estado Mérida (Venezuela), junto con el pico Mucuñuque, en la sierra de Santo Domingo (Andes). A pesar de su altura no presenta dificultades técnica importantes, puesto que el hecho de que el punto de partida de la ascensión se encuentre a 3.550 m, en la laguna Mucubají, facilita mucho la travesía. Asimismo, no es necesario utilizar un  equipos de escalada para llegar a la cumbre. La sierra de Santo Domingo está separada de la sierra Nevada de Mérida por los valles consecutivos de las quebradas Micarache y Gavídia, en la cuenca del río Chama, y de la sierra del Norte por el collado de Mucubají.;Pico,altura,Mucuñuque,sierra,Andes,dificultades,ascensión,laguna,travesía,equipos,escalada,cumbre,Nevada,valles,valles,quebradas,cuenca,río,collado;
Mikeno;;pico;África;Montañas Virunga;República Democrática del Congo;;;4.437 m;quatre mil;;;Volcán extinto que con sus 4.437 m de altura sonre el nivel del mar constituye el segundo punto más alto, después del monte Karisimbi de las montañas Virunga. Se encuentra en el Parque nacional de Virunga, en la República Democrática del Congo, a 5,5 km al noroeste del monte Karisimbi, cerca de la frontera con Ruanda. En sus proximidades se encuentran poblaciones de gorilas de montaña.;Volcán,altura,segundo,segundo,alto,monte,Karisimbi,frontera;
Minto;;monte;Antártida;Montañas Admiralty;Antártida;;;4.166 m;quatre mil;;;montañas situada en las montañas Almiralty (Antártida).;montañas;
Minya Konka;;pico;Asia;Daxue Shan;China;;Sichuan;7.556 m;set mil;;;Pico de 7.556 m de altura sobre el nivel del mar, situado en la cordillera Daxue Shan.;Pico,altura,cordillera;
Moebius;;pico;África;Montañas Ruwenzori;República Democrática del Congo, Uganda;;Monte Stanley;4.916 m;quatre mil;;;Pico de 4.916 m de altura sobre el nivel del mar, perteneciente al monte Stanley, en las montañas Ruwenzori.;Pico,altura,monte,Stanley;
Mohinora;;cerro;América del Norte;Sierra Madre Occidental;México;;Chihuahua;3.303 m;tres mil;;;Montaña más alta del estado de Chihuahua (México).;Montaña;
Molamenqing;;pico;Asia;Himalaya;Tíbet;;;7.703 m;set mil;;;Pico de 7.703 m de altura sobre el nivel del mar, situado en la cordillera del Himalaya.;Pico,altura,cordillera,Himalaya;
Momhil Sar;;pico;Asia;Karakórum;Pakistán;;Cachemira;7.414 m;set mil;;;Pico de 7.414 m de altura sobre el nivel del mar, situado en la cordillera del Karakórum.;Pico,altura,cordillera,Karakórum;
Moncayo;;pico;Europa;Sistema Ibérico;España;;;2.313 m;dos mil;;;Pico de 2.313 m sobre el nivel del mar, el más alto del Sistema Ibérico, en España.;Pico,alto,Sistema Ibérico;
Mont Blanc;;pico;Europa;Alpes;Francia, Italia;;Macizo del Mont Blanc;4.810 m;quatre mil;45º 50' N;6º 52' E;picos principal del macizo del Mont Blanc, que con 4.810 m. de altura sobre el nivel del mar es la cumbre más alta de la cordillera de los Alpes. Pese a significar un hito para el alpinismo, no puede ser considerado como el pico más alto de Europa, ya que el monte Elbrús, en el Cáucaso, le supera considerablemente (véase las montañas más altas por continente). Su ascensión requiere de experiencia y técnica alpinística, aunque no resulta técnicamente difícil.;picos,macizo,altura,cumbre,cordillera,Alpes,hito,alpinismo,alto,monte,Elbrús,Cáucaso,continente,ascensión,experiencia,alpinística;
Montcalm;;pico;Europa;Pirineos;España;;;3.077 m;tres mil;;;Pico de 3.077 m de altura sobre el nivel del mar, situado en la cordillera de los Pirineos.;Pico,altura,cordillera,Pirineos;
